Loan_ID,BAD,LOAN,LOANDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
772418,1,1100,25860,39025,CarImp,Other,10.5,0,0,94.36666667,1,9,
477724,1,1300,70053,68400,CarImp,Other,7,0,2,121.8333333,0,14,
150746,1,1500,13500,16700,CarImp,Other,4,0,0,149.4666667,1,10,
108584,1,1500,,,,,,,,,,,
321534,0,1700,97800,112000,CarImp,Office,3,0,0,93.33333333,0,14,
874921,1,1700,30548,40320,CarImp,Other,9,0,0,101.4660019,1,8,37.11361356
511718,1,1800,48649,57037,CarImp,Other,5,3,2,77.1,1,17,
119768,1,1800,28502,43034,CarImp,Other,11,0,0,88.76602988,0,8,36.88489409
290726,1,2000,32700,46740,CarImp,Other,3,0,2,216.9333333,1,12,
245544,1,2000,,62250,CarImp,Sales,16,0,0,115.8,0,13,
831964,1,2000,22608,,,,18,,,,,,
90139,1,2000,20627,29800,CarImp,Office,11,0,1,122.5333333,1,9,
124500,1,2000,45000,55000,CarImp,Other,3,0,0,86.06666667,2,25,
723824,0,2000,64536,87400,,Mgr,2.5,0,0,147.1333333,0,24,
658722,1,2100,71000,83850,CarImp,Other,8,0,1,123,0,16,
674352,1,2200,24280,34687,CarImp,Other,,0,1,300.8666667,0,8,
61463,1,2200,90957,102600,CarImp,Mgr,7,2,6,122.9,1,22,
576129,1,2200,23030,,,,19,,,,,,3.711312299
628401,1,2300,28192,40150,CarImp,Other,4.5,0,0,54.6,1,16,
811231,0,2300,102370,120953,CarImp,Office,2,0,0,90.99253347,0,13,31.58850318
515060,1,2300,37626,46200,CarImp,Other,3,0,1,122.2666667,1,14,
62211,1,2400,50000,73395,CarImp,ProfExe,5,1,0,,1,0,
406591,1,2400,28000,40800,CarImp,Mgr,12,0,0,67.2,2,22,
472499,1,2400,18000,,CarImp,Mgr,22,,2,121.7333333,0,10,
293428,1,2400,,17180,CarImp,Other,,0,0,14.56666667,3,4,
433633,1,2400,34863,47471,CarImp,Mgr,12,0,0,70.49108003,1,21,38.26360073
187207,0,2400,98449,117195,CarImp,Office,4,0,0,93.81177485,0,13,29.68182705
404640,1,2500,15000,20200,CarImp,,18,0,0,136.0666667,1,19,
448533,1,2500,25116,36350,CarImp,Other,10,1,2,276.9666667,0,9,
972798,0,2500,7229,44516,CarImp,Self,,0,0,208,0,12,
508707,0,2500,71408,78600,CarImp,ProfExe,8,0,0,255.7333333,0,12,
175578,1,2800,50795,63100,CarImp,Self,26,2,15,145.6333333,3,45,
744224,1,2800,4000,60850,CarImp,Other,16,4,0,112.6333333,2,9,
879420,1,2900,78600,113000,DebtCon,ProfExe,6,1,0,165.3333333,2,26,
550535,0,2900,103949,112505,CarImp,Office,1,0,0,96.10232967,0,13,30.05113629
894653,0,2900,104373,120702,CarImp,Office,2,0,0,101.5402975,0,13,29.91585903
715835,1,2900,7750,67996,CarImp,Other,16,3,0,122.2046628,2,8,36.211348
430036,1,2900,61962,70915,DebtCon,Mgr,2,0,0,282.8016592,3,37,49.20639579
537810,0,3000,104570,121729,CarImp,Office,2,0,0,85.88437189,0,14,32.05978327
336121,1,3000,7000,20300,CarImp,Other,3,0,0,50.8,5,9,
709304,1,3000,,8800,CarImp,Other,2,0,1,77.76666667,0,3,
662683,1,3000,,33000,CarImp,Other,1,0,1,23.3,1,2,
739237,1,3000,119826,193500,CarImp,Other,8,0,0,130.0333585,0,27,
421916,1,3000,20000,29750,DebtCon,Other,2,0,0,187.0666667,0,12,
972188,1,3000,,14500,CarImp,Other,3,0,0,9.3,14,2,
143221,1,3000,,14100,CarImp,Other,1,0,0,104.2,0,19,
578925,1,3000,47000,82700,CarImp,ProfExe,10,0,1,262.1666667,5,26,
399947,1,3000,34542,45900,CarImp,Mgr,8.5,0,2,62.36666667,0,10,
118423,0,3000,58000,71500,CarImp,Mgr,10,,2,211.9333333,0,25,
444941,0,3000,47000,56400,CarImp,Office,21,0,0,201.8666667,0,20,
473967,1,3100,39589,36100,CarImp,Other,1.5,0,0,153.1666667,1,14,
661429,0,3100,,70400,,,,,,,,,
132473,0,3200,67848,74566,CarImp,Mgr,10,,1,206.4266021,0,25,40.11567728
916288,1,3200,48603,61000,CarImp,ProfExe,28,0,4,122.0333333,1,25,
529102,1,3200,27200,40834,CarImp,Other,,0,0,298.131564,0,7,35.55353879
792167,1,3200,54000,64850,CarImp,Other,1,0,0,121.8666667,3,21,
870126,0,3200,74864,87266,CarImp,ProfExe,7,0,0,250.6312692,0,12,42.90999735
319278,1,3200,23159,,CarImp,Mgr,20,,2,117.8057478,0,9,0.524499215
508442,1,3300,126541,134527,CarImp,Sales,9,1,0,139,0,36,
42978,1,3300,130518,164317,DebtCon,Other,9,0,6,192.289149,0,33,35.73055919
397680,1,3400,37000,52000,CarImp,Office,2,0,1,183.2999156,0,6,
71594,1,3500,23200,38666,CarImp,Other,11,0,0,162.3666667,0,14,
738533,1,3500,19400,20494,CarImp,Other,5,0,0,95.93333333,0,9,
834247,1,3600,61584,61800,CarImp,ProfExe,10,,,,,,
754252,1,3600,41900,52490,CarImp,Mgr,3,0,0,72.03333333,2,4,
267408,0,3600,83700,111800,CarImp,ProfExe,6,0,0,192.7333333,1,28,
186440,0,3600,61327,76484,CarImp,Mgr,9,,2,202.5107752,0,25,41.5163897
439212,0,3600,100693,114743,CarImp,Office,6,0,0,88.47045213,0,14,29.39354338
406353,1,3600,48507,61000,DebtCon,Office,13,1,4,97.4,0,17,
492863,0,3600,52337,63989,CarImp,Office,20,0,0,204.2724988,0,20,20.47091551
346114,1,3700,17857,21144,CarImp,Other,5,0,0,129.7173231,1,9,26.63434752
298451,1,3800,19135,97692,CarImp,Mgr,1.6,1,6,252.6333333,1,25,
255386,0,3800,51180,63459,CarImp,Office,20,0,0,203.7515336,0,20,20.06704205
181196,0,3800,,73189,,,,,,,,,22.25394916
200480,0,3800,11543,46045,CarImp,Self,,0,0,204.6479917,0,11,42.17316588
488964,1,3900,29896,45960,CarImp,Other,11,0,0,146.1232422,0,14,24.47888119
440609,1,3900,14500,22092,CarImp,Other,3.5,0,1,150.3,5,8,
518518,0,3900,52825,63000,DebtCon,ProfExe,8,0,4,171.6666667,1,31,
933147,0,3900,102143,118742,CarImp,Office,2,0,0,85.27736558,0,13,29.34392109
383906,1,3900,21200,39000,DebtCon,Mgr,4,0,1,86.56666667,2,14,
103002,0,4000,105164,112774,CarImp,Office,1,0,0,94.72487417,0,13,29.39092806
745613,0,4000,54543,61777,CarImp,Office,21,0,0,205.58668,0,19,21.80656346
800193,1,4000,,80609,CarImp,Other,1.5,0,2,126.5333333,3,12,
913462,1,4000,26572,31960,CarImp,Office,11,0,0,117.7951039,0,8,41.28649195
587169,1,4000,17000,52012,CarImp,ProfExe,22,3,1,85.33333333,1,9,
849156,1,4000,29562,37200,DebtCon,Other,6,0,0,92.13333333,1,26,
602801,1,4000,41700,76725,CarImp,Other,0.5,0,3,136.1333333,0,15,
668560,1,4000,58000,69440,CarImp,Other,3.5,0,1,168.6666667,0,18,
686445,1,4000,5700,18000,DebtCon,Other,,0,0,12.2,0,17,
390722,1,4000,45000,58350,CarImp,Mgr,3.5,0,0,162,3,16,
475848,1,4000,7000,16020,CarImp,Other,18,0,1,85.8,2,23,
651333,0,4000,66000,79050,CarImp,Other,1.8,2,0,279,1,6,
227294,0,4000,,45760,CarImp,,0,0,0,,0,0,
647072,0,4000,62000,78000,CarImp,Other,4,0,0,109.5666667,0,15,
454849,0,4000,64240,63990,CarImp,Sales,5,2,0,160.3,1,23,
580043,1,4000,74000,93000,CarImp,ProfExe,2.6,1,3,186.6333333,,9,
343776,1,4000,55000,59000,DebtCon,Other,12,2,0,146.1,0,22,
498602,0,4000,67625,80698,CarImp,Mgr,11,,1,212.3493039,0,25,39.12871763
60895,0,4000,67533,71865,CarImp,Mgr,10,,2,227.7929884,0,25,39.1663287
381363,1,4100,,19132,CarImp,Other,0,0,0,100.7746522,0,19,33.8409199
308773,1,4100,58500,65000,CarImp,Other,8,1,2,63.93333333,2,15,
547257,0,4100,57992,63797,DebtCon,ProfExe,7,0,4,165.505037,1,31,22.27817437
405529,0,4200,56544,59218,CarImp,Office,19,0,0,211.0025991,1,20,19.02770442
55491,1,4200,34800,50225,CarImp,Other,2,1,0,93.5,1,5,
360452,0,4200,67700,77000,DebtCon,Sales,4,0,0,128.8333333,0,31,
364822,0,4200,44000,55085,DebtCon,,6,,1,75.43333333,,16,
789234,0,4200,66272,82953,CarImp,Other,3,0,0,110.2786626,0,15,43.45058791
450516,0,4200,50216,58541,CarImp,Office,19,0,0,209.8713022,0,19,20.20803267
497580,0,4300,71206,78698,DebtCon,Sales,3,0,0,129.932869,0,31,34.18137652
508517,0,4300,68815,79852,CarImp,Other,6,0,0,105.1207088,0,14,41.80637615
17192,0,4300,72021,80027,CarImp,Other,2,2,0,263.9703003,0,5,36.43209394
753872,0,4400,53969,63869,DebtCon,ProfExe,7,0,3,162.3900107,0,30,23.58107924
842576,0,4400,,60250,,,,,,,,,
137223,1,4400,53091,64074,DebtCon,Office,14,1,3,89.86105825,0,17,39.15808483
82979,0,4500,66127,79087,CarImp,Other,4,1,0,81.3490651,0,15,40.70530876
979356,0,4500,,77182,,,,,,,,,25.2272529
358837,1,4500,39000,66000,CarImp,Other,1,0,0,170.3666667,1,19,
502557,0,4500,71082,79247,CarImp,Other,4,0,0,118.7604101,0,14,41.42111052
775667,0,4500,,49044,CarImp,,0,0,0,,0,0,11.6527388
275691,1,4500,57000,,CarImp,Other,5,,,222.6,1,13,
785585,1,4500,34184,46000,CarImp,Mgr,3.5,0,1,122.6,2,22,
427310,1,4500,66517,87000,DebtCon,ProfExe,10,0,4,125.8,0,34,
761922,0,4500,45500,50000,CarImp,Other,6,0,0,86.16666667,0,18,
715708,1,4500,118000,146870,CarImp,ProfExe,4.5,2,0,203.8666667,1,20,
100729,1,4500,90000,105800,CarImp,Other,6,2,3,80.1,3,10,
953912,0,4700,67913,97205,,Mgr,2,0,0,142.8243915,0,24,35.22699719
624741,0,4700,71855,88566,CarImp,Other,2,2,0,283.9595381,0,5,36.47547328
507462,0,4700,53918,59511,DebtCon,,6,,0,54.13647743,,15,34.41650781
777768,1,4700,49100,58238,CarImp,ProfExe,0.1,0,0,61.8,2,17,
479781,0,4700,88026,115506,CarImp,ProfExe,6,0,0,182.2483316,0,27,29.20902258
281564,1,4700,26900,45000,CarImp,ProfExe,9,1,2,90.46666667,1,16,
822035,0,4800,67317,97191,,Mgr,3,0,0,137.3197248,0,23,34.27529378
774664,0,4800,56067,63102,DebtCon,ProfExe,9,0,3,160.1463113,1,30,21.58376012
450770,0,4800,80482,88342,CarImp,ProfExe,7,0,0,275.0323948,0,11,43.71763511
675671,0,4900,58688,63348,DebtCon,ProfExe,9,0,3,179.1625747,2,31,22.54439284
196995,0,4900,65873,90408,,Mgr,2,0,0,141.858999,0,23,37.76961861
360905,1,4900,25597,23031,CarImp,Other,5,0,0,101.7467664,0,8,33.24315698
349003,0,4900,67794,84630,CarImp,Other,4,0,0,112.5734189,0,15,41.67399636
634292,1,4900,44000,59745,CarImp,Other,10,0,0,81.5,3,13,
182837,0,4900,,28437.5,CarImp,,,,,,,,
281328,0,4900,170986,245300,DebtCon,Sales,,0,0,131.9333333,0,22,
18640,1,4900,65576,65774,CarImp,Other,6,1,2,61.64250608,1,14,40.59091002
183724,0,4900,57461,68494,DebtCon,ProfExe,8,0,4,183.6356132,0,30,22.79542355
240804,0,4900,,69706,,,,,,,,,33.70558774
742122,0,5000,,34846,CarImp,,,,,,,,33.35465263
333471,0,5000,47479,61690,DebtCon,,5,,0,65.03296901,,16,36.69941492
270929,0,5000,66839,87168,CarImp,Other,4,0,0,122.5972226,0,15,40.61677935
138171,0,5000,12457,53448,CarImp,Self,,0,0,207.1434813,0,12,44.10795169
147946,0,5000,90059,113714,CarImp,ProfExe,7,0,0,193.6364469,0,28,25.89731648
792105,1,5000,22320,34900,CarImp,Other,10,0,0,65.7,1,5,
622727,1,5000,40000,70500,CarImp,Mgr,0.4,0,0,61.76666667,2,8,
69613,1,5000,100882,102700,CarImp,Mgr,5,0,1,58.86666667,0,16,
317583,1,5000,31000,47350,CarImp,ProfExe,12,,,,,,
